track,gradeId,subject,variant,shared,filename
tasheel,g1,akhlaaq,,,grade-01/akhlaaq-1.pdf
tasheel,g1,aqaaid,,,grade-01/aqaaid-1.pdf
shared,g1,duas,,yes,grade-01/duas.pdf
shared,g1,essential-duas,,yes,grade-01/essential_duas_for_muslims_gr_1-7.pdf
tasheel,g1,fiqh,,,grade-01/fiqh-1.pdf
tasheel,g1,hadeeth,,,grade-01/hadeeth-1.pdf
tasheel,g1,islamic-history,,,grade-01/islamic-history-1-a4.pdf
tasheel,g1,unclassified,,,grade-01/quraan-part-1.pdf
tasheel,g1,unclassified,,,grade-01/towards-raeding-the-quraan-part-2.pdf
tasheel,g1,unclassified,,,grade-01/yassarnal_quraan_pt_1.pdf
tasheel,g1,unclassified,,,grade-01/yassarnal_quraan_pt_2.pdf
shared,g2,100-sunnats,,yes,grade-02/100_sunnats.pdf
tasheel,g1,ahadeeth-wal-akhlaaq,kzn,,grade-02/ahaadeeth_wal_akhlaaaq_gr_1-7-2.pdf
tasheel,g2,akhlaaq,,,grade-02/akhlaaq-2.pdf
tasheel,g2,aqaaid,,,grade-02/aqaaid-2.pdf
shared,g2,duas,,yes,grade-02/duas.pdf
shared,g1,essential-duas,,yes,grade-02/essential_duas_for_muslims_gr_1-7.pdf
tasheel,g2,fiqh,,,grade-02/fiqh-2.pdf
tasheel,g2,hadeeth,,,grade-02/hadeeth-2.pdf
tasheel,g2,islamic-history,,,grade-02/islamic-history-2.pdf
tasheel,g2,unclassified,,,grade-02/quraan-part-1.pdf
tasheel,g2,unclassified,,,grade-02/towards-raeding-the-quraan-part-2.pdf
tasheel,g2,unclassified,,,grade-02/yassarnal_quraan_pt_1.pdf
tasheel,g2,unclassified,,,grade-02/yassarnal_quraan_pt_2.pdf
shared,g3,100-sunnats,,yes,grade-03/100_sunnats.pdf
tasheel,g1,ahadeeth-wal-akhlaaq,kzn,,grade-03/ahaadeeth_wal_akhlaaaq_gr_1-7-3.pdf
tasheel,g3,akhlaaq,,,grade-03/akhlaaq-3.pdf
tasheel,g3,aqaaid,,,grade-03/aqaaid-3.pdf
shared,g3,duas,,yes,grade-03/duas.pdf
shared,g1,essential-duas,,yes,grade-03/essential_duas_for_muslims_gr_1-7.pdf
tasheel,g3,fiqh,,,grade-03/fiqh-3.pdf
tasheel,g3,hadeeth,,,grade-03/hadeeth-3.pdf
tasheel,g3,islamic-history,,,grade-03/islamic-_history_gr_3.pdf
tasheel,g3,islamic-history,,,grade-03/islamic-history-3.pdf
shared,g4,100-sunnats,,yes,grade-04/100_sunnats.pdf
tasheel,g1,ahadeeth-wal-akhlaaq,kzn,,grade-04/ahaadeeth_wal_akhlaaaq_gr_1-7.pdf
tasheel,g4,akhlaaq,,,grade-04/akhlaaq-4-1.pdf
tasheel,g4,aqaaid,,,grade-04/aqaaid-4.pdf
shared,g4,duas,,yes,grade-04/duas.pdf
shared,g1,essential-duas,,yes,grade-04/essential_duas_for_muslims_gr_1-7.pdf
tasheel,g4,fiqh,,,grade-04/fiqh-4.pdf
tasheel,g4,hadeeth,,,grade-04/hadeeth-4.pdf
tasheel,g4,islamic-history,,,grade-04/islamic-_history_gr_4.pdf
tasheel,g4,islamic-history,,,grade-04/islamic-history-4.pdf
shared,g5,100-sunnats,,yes,grade-05/100_sunnats.pdf
tasheel,g1,ahadeeth-wal-akhlaaq,kzn,,grade-05/ahaadeeth_wal_akhlaaaq_gr_1-7-1.pdf
tasheel,g5,akhlaaq,,,grade-05/akhlaaq-5.pdf
tasheel,g5,aqaaid,,,grade-05/aqaaid-5.pdf
shared,g5,duas,,yes,grade-05/duas.pdf
shared,g1,essential-duas,,yes,grade-05/essential_duas_for_muslims_gr_1-7.pdf
tasheel,g5,fiqh,,,grade-05/fiqh-5.pdf
tasheel,g5,hadeeth,,,grade-05/hadeeth-5-1.pdf
tasheel,g5,islamic-history,,,grade-05/islamic-_history_gr_5.pdf
tasheel,g5,islamic-history,,,grade-05/islamic-history-5.pdf
shared,g6,100-sunnats,,yes,grade-06/100_sunnats-1.pdf
tasheel,g1,ahadeeth-wal-akhlaaq,kzn,,grade-06/ahaadeeth_wal_akhlaaaq_gr_1-7-4.pdf
tasheel,g6,akhlaaq,,,grade-06/akhlaaq-6.pdf
tasheel,g6,aqaaid,,,grade-06/aqaaid-6.pdf
tasheel,g6,aqaaid,basic,,grade-06/basic_aqaaid.pdf
tasheel,g6,fiqh,basic,,grade-06/basic_fiqh.pdf
shared,g6,duas,,yes,grade-06/duas.pdf
shared,g1,essential-duas,,yes,grade-06/essential_duas_for_muslims_gr_1-7.pdf
tasheel,g6,fiqh,,,grade-06/fiqh-6.pdf
tasheel,g6,hadeeth,,,grade-06/hadeeth-6.pdf
tasheel,g6,islamic-history,,,grade-06/islamic-_history_gr_6.pdf
tasheel,g6,islamic-history,,,grade-06/islamic-history-6.pdf
shared,g6,tuhfatul-banaat,,yes,grade-06/tuhfatul_banaat.pdf
shared,g6,tuhfatush-shabaab,,yes,grade-06/tuhfatush_shabaab.pdf
shared,g7,100-sunnats,,yes,grade-07/100_sunnats.pdf
tasheel,g1,ahadeeth-wal-akhlaaq,kzn,,grade-07/ahaadeeth_wal_akhlaaaq_gr_1-7-5.pdf
tasheel,g7,aqaaid,,,grade-07/aqaaid-7.pdf
tasheel,g7,aqaaid,basic,,grade-07/basic_aqaaid-1.pdf
tasheel,g7,fiqh,basic,,grade-07/basic_fiqh-1.pdf
tasheel,g7,fiqh,basic,,grade-07/basic_fiqh_3.pdf
shared,g7,duas,,yes,grade-07/duas.pdf
shared,g1,essential-duas,,yes,grade-07/essential_duas_for_muslims_gr_1-7.pdf
shared,g7,essential-duas,,yes,grade-07/essential_duas_part_2.pdf
tasheel,g7,fiqh,,,grade-07/fiqh-7.pdf
tasheel,g7,hadeeth,,,grade-07/hadeeth-7.pdf
tasheel,g7,islamic-history,,,grade-07/history-7.pdf
tasheel,g7,islamic-history,,,grade-07/islamic-_history_gr_7.pdf
shared,g7,tuhfatul-banaat,,yes,grade-07/tuhfatul_banaat-1.pdf
shared,g7,tuhfatush-shabaab,,yes,grade-07/tuhfatush_shabaab-1.pdf
tasheel,g8,duroosul-quraan,,,grade-08/08-tas-heelduroosilquraan.pdf
tasheel,g8,aqaaid,,,grade-08/aqaaid-8.pdf
tasheel,g8,fiqh,,,grade-08/fiqh-8.pdf
tasheel,g8,hadeeth,,,grade-08/hadeeth-8.pdf
tasheel,g8,unclassified,,,grade-08/taarekh-8.pdf
tasheel,g9,duroosul-quraan,,,grade-09/09-tas-heelduroosilquraan.pdf
tasheel,g9,unclassified,,,grade-09/doc-20241022-wa0018.pdf
tasheel,g9,fiqh,,,grade-09/fiqh-9.pdf
tasheel,g9,hadeeth,,,grade-09/hadeeth-9.pdf
tasheel,g9,islamic-history,,,grade-09/taareekh-9.pdf
tasheel,g10,aqaaid,,,grade-10/aqaaid-10.pdf
tasheel,g10,fiqh,,,grade-10/fiqh-10.pdf
tasheel,g10,hadeeth,,,grade-10/hadeeth-10.pdf
tasheel,g10,islamic-history,,,grade-10/taareekh-10.pdf
tasheel,g11-12,aqaaid,,,grade-11-and-12/aqaaid-1112.pdf
tasheel,g11-12,fiqh,,,grade-11-and-12/fiqh-11.pdf
tasheel,g11-12,fiqh,,,grade-11-and-12/fiqh1228129.pdf
tasheel,g11-12,hadeeth,,,grade-11-and-12/hadeeth-11.pdf
tasheel,g11-12,islamic-history,,,grade-11-and-12/taareekh-1112.pdf
tasheel-shafii,g2,fiqh,,,grade-shafiee-fiqh/fiqh-shafiee-grade-2.pdf
tasheel-shafii,g3,fiqh,,,grade-shafiee-fiqh/fiqh-shafiee-grade-3.pdf
tasheel-shafii,g4,fiqh,,,grade-shafiee-fiqh/fiqh-shafiee-grade-4.pdf
tasheel-shafii,g5,fiqh,,,grade-shafiee-fiqh/fiqh-shafiee-grade-5.pdf
